⚠️ File truncated for preview (showing first 0.5MB of 1.5MB)
────────────────────────────────────────────────────────────

timestamp,TT_101,TT_102,LT_101,LT_102,CT_104,CT_105,CT_106,conversion,selectivity,SP_TT_101,SP_TT_102,SP_LT_101,SP_LT_102,FT_101,FT_102
0,69.7832227623585,64.7262667652914,70.5600252385053,67.5093954314565,0.0985607964205127,0.106346622629724,0.0103819950069897,94.3222462431161,95.8773866580471,70,65,60,60,20,25
10,70.3932785793656,64.7660173124073,68.4160029013314,68.4957078911753,0.10036778519247,0.110030061711525,0.0103568312102988,93.2600255194224,95.3190691368014,70,65,60,60,20,25
20,70.3541376533696,65.0993444735064,68.469876101252,69.3802763773778,0.100615161231693,0.12217930353753,0.0109524798630555,91.0501884919923,95.5605643857809,70,65,60,60,20,25
30,69.9541862633198,64.8047915441758,64.7176990463243,68.5516003751624,0.0989405304294516,0.130469352710514,0.0110990117612305,94.3305478526079,96.6274029928835,70,65,60,60,20,25
40,69.6525771261721,65.0178611582958,66.5626148853349,68.7741887173235,0.102152110053911,0.132937533897902,0.0119096860510235,92.8741596538758,94.1099930414718,70,65,60,60,20,25
50,70.1685296691569,64.8744775644154,66.2497516953766,66.3990382269286,0.101079297235151,0.141772051045691,0.011662717567731,97.0618525164353,95.2688501219434,70,65,60,60,20,25
60,69.7636479635615,64.9317146374368,68.4048889272774,64.6425044833947,0.101600918031413,0.148593791681578,0.0118212682318102,95.8743637009454,96.110741962012,70,65,60,60,20,25
70,70.0327647674636,64.8485087718636,67.1179491762418,66.6728294775622,0.100882635294902,0.156805946178393,0.0120721420240232,97.3074415599208,95.1775292397647,70,65,60,60,20,25
80,70.0515053796965,65.0418198297115,65.339118032509,65.7873846653846,0.101278466291456,0.160505612259451,0.0124699708838531,94.7697349362389,94.5238897537092,70,65,60,60,20,25
90,70.0288245941603,65.2847492403649,67.3097064607967,66.0985659010568,0.102665461374423,0.170190125987581,0.0130146690981947,92.7957497347244,96.4818193684122,70,65,60,60,20,25
100,70.1070845493836,64.8975665781216,65.5123607659592,64.9730597874261,0.104864204551289,0.176334920978537,0.0127160509174009,91.3741339181981,96.3608265912455,70,65,60,60,20,25
110,70.1689801964275,64.9222246373984,65.3581726261486,63.2265350637408,0.106414952986248,0.184058893929172,0.0138487731896224,95.912541466276,96.473448231017,70,65,60,60,20,25
120,69.9895568507342,64.8660143093649,64.6319397589927,65.387061420619,0.103422995593352,0.191589197760052,0.0127811904047172,91.3022752104238,95.684185338966,70,65,60,60,20,25
130,70.3463719617249,64.69261544883,64.552568568061,63.8883106728447,0.101335315630657,0.189165271747325,0.0135500088107518,96.3981197282112,98.0255547463526,70,65,60,60,20,25
140,70.0919543965002,64.9837073714695,63.2609207535,64.6093955297685,0.100854822124116,0.197379571162693,0.0139217633942078,94.6013348906723,96.5880028508425,70,65,60,60,20,25
150,69.7446959292331,64.9498744161324,62.8072856174576,62.8204830879266,0.100994304558651,0.205287239988003,0.013633169837453,98.4197818109142,98.4575371576118,70,65,60,60,20,25
160,70.0578701782025,65.0240162640634,64.0339209057249,66.0381966059457,0.104378488318274,0.214996939993171,0.014263663669569,89.8579898829152,96.6932228083754,70,65,60,60,20,25
170,70.1245449610399,64.5679383703217,62.2028350660371,63.6480703792906,0.10023616777155,0.215576368487529,0.0137732849827203,94.0457858635122,96.8429618190368,70,65,60,60,20,25
