⚠️ File truncated for preview (showing first 0.5MB of 5.5MB)
────────────────────────────────────────────────────────────

timestamp,operating_regime,SP_TT_101,SP_TT_102,SP_LT_101,SP_LT_102,SP_FT_101,SP_FT_102,SP_ST_101,SP_ST_102,TT_101,TT_102,LT_101,LT_102,FT_101,FT_102,AT_101,ST_101,ST_102,CT_104,CT_105,CT_106,conversion,selectivity,CT_104_is_outlier,CT_105_is_outlier,CT_106_is_outlier,FT_101_is_outlier,FT_102_is_outlier,LT_101_is_outlier,LT_102_is_outlier,ST_101_is_outlier,ST_102_is_outlier,TT_101_is_outlier,TT_102_is_outlier
2025-11-01 00:00:00,2,70,65,60,55,20.0,22.0,150,145,70.02483570765057,64.99308678494144,60.06476885381007,55.1523029856408,19.860281073928924,22.07258868146981,1.990433598776711,149.88292331263833,144.88293152152542,0.49602105342355146,0.4035157375193117,0.01874260056620222,0.8084628102372446,0.9506025001993803,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:00:10,2,70,65,60,55,20.0,22.0,150,145,69.93332372616197,64.96643826611681,59.95916781818929,55.17357418652428,20.03327677691296,21.65470192677331,2.0018784900917286,149.5459879622394,144.29384814933235,0.4936896111830443,0.403046972997173,0.0172703673267297,0.8080621691249622,0.9476767532217475,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:00:20,2,70,65,60,55,20.0,22.0,150,145,69.91989020595078,64.95828498885676,59.9017193024204,55.34723039254022,20.059058370760738,22.221539973998624,2.00085684140595,149.99325138763103,144.47114453552206,0.49181775472839967,0.4014804734375482,0.01347625442102061,0.8061240575760198,0.9446958623689807,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:00:30,2,70,65,60,55,20.0,22.0,150,145,69.92446514908039,64.94875623485633,59.76041914988897,55.25209727886473,20.18350288665226,22.309299856748787,2.004656400595581,149.7696806145201,145.52856111310945,0.4903191063918686,0.4030561586573526,0.011676842967091917,0.8046902746374559,0.9430577323978578,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:00:40,2,70,65,60,55,20.0,22.0,150,145,69.89062239649658,64.94006579289203,59.80951754970339,55.33284530631932,20.301059869367606,22.10849080751429,1.9967744012269744,149.76041288107734,144.90717051166808,0.49033470592669465,0.4080807649779312,0.011694964833225454,0.800318245490914,0.9447787581223203,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:00:50,2,70,65,60,55,20.0,22.0,150,145,69.92451365132212,65.02467506613888,59.818633775812174,55.46711998481277,20.107133771453523,22.443368213422456,1.9974086489086318,148.69012744795512,145.4109512521876,0.4881578607673613,0.4064178810026841,0.01125496867959426,0.8039205927460906,0.9475109767450748,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:01:00,2,70,65,60,55,20.0,22.0,150,145,69.88944124477331,64.98854080971788,59.9222650691949,55.468853763457886,19.560945515560363,22.08883608311937,2.0013052763608994,149.7351198981165,145.25663371655668,0.4836176550682374,0.4081116432065155,0.010278408462472704,0.8039277093316617,0.9513130936972352,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:01:10,2,70,65,60,55,20.0,22.0,150,145,69.90594486061751,64.98186492951561,59.7859103237102,55.395532313617494,19.97766622527015,21.42436863541029,1.999867430622754,149.82864274173662,144.59886136538918,0.4868863703920673,0.41078000362237316,0.01126899680934853,0.8031634305079677,0.9496008629494057,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:01:20,2,70,65,60,55,20.0,22.0,150,145,69.91830006488556,65.10789323018334,59.780946872318076,55.39931822694302,19.579444681162315,22.17605712814008,2.01095227812905,149.98264411514737,144.41566098119023,0.48680971439972975,0.41129297134803305,0.015681690975489274,0.8070838496239318,0.9507329934031885,0,0,0,0,0,0,0,0,0,0,0
2025-11-01 00:01:30,2,70,65,60,55,20.0,22.0,150,145,69.87723463117148,65.05507107500196,59.805515550672304,55.322349446401866,19.9033815451383,22.244055165210902,1.9938456784178302,149.22466828446693,145.034281487403,0.48165768099815953,0.4166678788370034,0.013502082004499899,0.8004415694645254,0.9498890486410457,0,0,0,0,0,0,0,0,0,0,0
